;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,M40\SV23\SUP_IND,SV23 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/2,G,,,,,,
D,M40\SV24\EXH_IND,SV24 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/4,G,,,,,,
D,M40\SV24\OFF_IND,SV24 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/7,G,,,,,,
D,M40\SV24\SUP_IND,SV24 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/6,G,,,,,,
D,M40\SV25\EXH_IND,SV25 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/8,G,,,,,,
D,M40\SV25\OFF_IND,SV25 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/11,G,,,,,,
D,M40\SV25\SUP_IND,SV25 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/10,G,,,,,,
D,M40\SV26\EXH_IND,SV26 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/12,G,,,,,,
D,M40\SV26\OFF_IND,SV26 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/15,G,,,,,,
D,M40\SV26\SUP_IND,SV26 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:10/14,G,,,,,,
D,M40\SV31\EXH_IND,SV31 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/0,G,,,,,,
D,M40\SV31\OFF_IND,SV31 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:12/3,G,,,,,,
