    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
 A30-ACO-DN |   199 |    20 | ABNORMAL_CONDITION_DEVICE | ACO_X01_263SP_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   200 |    20 | ABNORMAL_CONDITION_DEVICE | ACO_X01_263SP_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   201 |    21 | ABNORMAL_CONDITION_DEVICE | ACO_X01_263SP_TRP                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   202 |    21 | ABNORMAL_CONDITION_DEVICE | ACO_X01_263SP_TRP                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   203 |    22 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226QT_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   204 |    22 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226QT_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   205 |    23 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226QT_TRP                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   206 |    23 | ABNORMAL_CONDITION_DEVICE | ACO_X01_226QT_TRP                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   207 |    24 | ABNORMAL_CONDITION_DEVICE | ACO_X01_263OL_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   208 |    24 | ABNORMAL_CONDITION_DEVICE | ACO_X01_263OL_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   209 |    25 | ABNORMAL_CONDITION_DEVICE | ACO_X01_PRV_ALM                                     | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   210 |    25 | ABNORMAL_CONDITION_DEVICE | ACO_X01_PRV_ALM                                     | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   211 |    26 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_33_DOOR_OPEN_TRP                            | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   212 |    26 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_33_DOOR_OPEN_TRP                            | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   213 |    27 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_189_NDS_OPEN                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   214 |    27 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_189_NDS_OPEN                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   215 |    28 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_126DT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   216 |    28 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_126DT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   217 |    29 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_27_ALM                                      | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   218 |    29 | ABNORMAL_CONDITION_DEVICE | ACO_Z01_27_ALM                                      | ABC_DEVICE_ELEC_IND       | NO_ALARM
