Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"MDI_BKR_172_11_TT_TEST_BP","100163",Boolean,1,RO,1000,,,,,,,,,,"KMA D11 TRANSFER TRIP TEST SWITCH IN BYPASS",
"MDI_BKR_172_12_27_CNTL","100049",Boolean,1,RO,1000,,,,,,,,,,"KMA D12 LOSS OF CONTROL POWER",
"MDI_BKR_172_12_CONN","100046",Boolean,1,RO,1000,,,,,,,,,,"KMA D12 IN CONNECTED POSITION",
"MDI_HS_186_CLEARED","100033",Boolean,1,RO,1000,,,,,,,,,,"KMA 186 LOCKOUT RELAY CLEARED",
"MDI_HS_186_TRIPPED","100032",Boolean,1,RO,1000,,,,,,,,,,"KMA 186 LOCKOUT RELAY TRIPPED",
"MDI_HS_286_CLEARED","100036",Boolean,1,RO,1000,,,,,,,,,,"KMA 286 LOCKOUT RELAY CLEARED",
"MDI_HS_286_TRIPPED","100035",Boolean,1,RO,1000,,,,,,,,,,"KMA 286 LOCKOUT RELAY TRIPPED",
"MDI_HS_43_LOCAL","100030",Boolean,1,RO,1000,,,,,,,,,,"KMA IN LOCAL CONTROL",
"MDI_HS_43_REMOTE","100031",Boolean,1,RO,1000,,,,,,,,,,"KMA IN REMOTE CONTROL",
"MDI_IPRA_UNHEALTHY","100191",Boolean,1,RO,1000,,,,,,,,,,"KMA IPRA UNHEALTHY",
"MDI_IPRB_UNHEALTHY","100193",Boolean,1,RO,1000,,,,,,,,,,"KMA IPRB UNHEALTHY",
"MDI_NGD_CURRENT_NEG_SCR","100200",Boolean,1,RO,1000,,,,,,,,,,"KMA NGD NEGATIVE FIRING",
"MDI_NGD_CURRENT_POS_SCR","100199",Boolean,1,RO,1000,,,,,,,,,,"KMA NGD POSITIVE FIRING",
"MDI_NS_27_POWER_FAILURE","100201",Boolean,1,RO,1000,,,,,,,,,,"KMA NETWORK SWITCH POWER FAILURE",
"MDI_NS_ALARM","100202",Boolean,1,RO,1000,,,,,,,,,,"KMA NETWORK SWITCH UNHEALTHY",
"MDI_X01_226QT_TRP","100004",Boolean,1,RO,1000,,,,,,,,,,"KMA X01 OIL HIGH TEMP TRIP",
"MDI_X01_226WT_HI_TRP","100003",Boolean,1,RO,1000,,,,,,,,,,"KMA X01 WINDING HIGH TEMP TRIP",
"MDI_X01_263OL_TRP","100002",Boolean,1,RO,1000,,,,,,,,,,"KMA X01 LOW OIL LEVEL TRIP",
"MDI_X01_263SP_TRP","100001",Boolean,1,RO,1000,,,,,,,,,,"KMA X01 SUDDEN PRESSURE TRIP",
"MDI_X02_226QT_TRP","100014",Boolean,1,RO,1000,,,,,,,,,,"KMA X02 OIL HIGH TEMP TRIP",
"MDI_X02_226WT_HI_TRP","100013",Boolean,1,RO,1000,,,,,,,,,,"KMA X02 WINDING HIGH TEMP TRIP",
"MDI_X02_263OL_TRP","100012",Boolean,1,RO,1000,,,,,,,,,,"KMA X02 LOW OIL LEVEL TRIP",
"MDI_X02_263SP_TRP","100011",Boolean,1,RO,1000,,,,,,,,,,"KMA X02 SUDDEN PRESSURE TRIP",
"MDI_Z01_103SS_TRP","100008",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01 SURGE SUPPRESOR FAILURE TRIP",
"MDI_Z01_126DT_HI_TRP","100005",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01 DIODE HIGH TEMP TRIP",
"MDI_Z01_133_DI_TRP","100009",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01 DOOR INTERLOCK TRIP",
"MDI_Z01_163AF_TRP","100006",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01 LOW AIR FLOW TRIP",
"MDI_Z01_180TX_TRP","100007",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01 DIODE FAILURE TRIP",
"MDI_Z01_27_CNTL","100010",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01 LOSS OF CONTROL POWER ALARM",
"MDI_Z02_103SS_TRP","100018",Boolean,1,RO,1000,,,,,,,,,,"KMA Z02 SURGE SUPPRESOR FAILURE TRIP",
"MDI_Z02_126DT_HI_TRP","100015",Boolean,1,RO,1000,,,,,,,,,,"KMA Z02 DIODE HIGH TEMP TRIP",
"MDI_Z02_133_DI_TRP","100019",Boolean,1,RO,1000,,,,,,,,,,"KMA Z02 DOOR INTERLOCK TRIP",
"MDI_Z02_163AF_TRP","100016",Boolean,1,RO,1000,,,,,,,,,,"KMA Z02 LOW AIR FLOW TRIP",
"MDI_Z02_180TX_TRP","100017",Boolean,1,RO,1000,,,,,,,,,,"KMA Z02 DIODE FAILURE TRIP",
"MDI_Z02_27_CNTL","100020",Boolean,1,RO,1000,,,,,,,,,,"KMA Z02 LOSS OF CONTROL POWER ALARM)",
"RL01","100105",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL RL01 DE-ENERGIZED",
"RL02","100117",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL RL02 DE-ENERGIZED",
"RR01","100056",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL RR01 DE-ENERGIZED",
"RR02","100128",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL RR02 DE-ENERGIZED",
"RR03","100080",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL RR03 DE-ENERGIZED",
"RR04","100164",Boolean,1,RO,1000,,,,,,,,,,"KMA CONTACT RAIL RR04 DE-ENERGIZED",
"VDI_164L_ALM","100023",Boolean,1,RO,1000,,,,,,,,,,"KMA SWGR ENCLOSURE LOOP IN BYPASS",
"VDI_164ZL_ALM","100026",Boolean,1,RO,1000,,,,,,,,,,"KMA Z01/Z02 ENCLOSURES LOOP IN BYPASS",
"VDI_AC_BUS_IND_DEENERGIZED","100243",Boolean,1,RO,1000,,,,,,,,,,"KMA AC BUS DEENERGIZED",
"VDI_AC_BUS_IND_ENERGIZED","100242",Boolean,1,RO,1000,,,,,,,,,,"KMA AC BUS ENERGIZED",
"VDI_AC_BUS_IND_UNDETERMINED","100244",Boolean,1,RO,1000,,,,,,,,,,"KMA AC BUS UNDETERMINED",
"VDI_AUTO_TRANSFER_EN","100223",Boolean,1,RO,1000,,,,,,,,,,"KMA AUTOMATIC RECLOSING ENABLED",
"VDI_BC01_BATT_VOLT_PROB_ALARM","100171",Boolean,1,RO,1000,,,,,,,,,,"KMA BATTERY CHARGER DC OUTPUT FAIL ALARM",
"VDI_BKR_172_01_DISC","100042",Boolean,1,RO,1000,,,,,,,,,,"KMA D01 IN DISCONNECTED POSITION",
"VDI_BKR_172_01_TEST","100041",Boolean,1,RO,1000,,,,,,,,,,"KMA D01 IN TEST POSITION",
"VDI_BKR_172_02_DISC","100054",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 IN DISCONNECTED POSITION",
"VDI_BKR_172_02_MPR_UNHEALTHY","100057",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 MPR UNHEALTHY",
"VDI_BKR_172_02_OVERCURRENT","100061",Boolean,1,RO,1000,,,,,,,,,,"KMA D02 OVERCURRENT TRIP",
"VDI_BKR_172_03_DISC","100066",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 IN DISCONNECTED POSITION",
"VDI_BKR_172_03_MPR_UNHEALTHY","100070",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 MPR UNHEALTHY",
"VDI_BKR_172_03_OVERCURRENT","100074",Boolean,1,RO,1000,,,,,,,,,,"KMA D03 OVERCURRENT TRIP",
"VDI_BKR_172_04_DISC","100079",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 IN DISCONNECTED POSITION",
"VDI_BKR_172_04_MPR_UNHEALTHY","100081",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 MPR UNHEALTHY",
"VDI_BKR_172_04_OVERCURRENT","100085",Boolean,1,RO,1000,,,,,,,,,,"KMA D04 OVERCURRENT TRIP",
"VDI_BKR_172_05_DISC","100090",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 IN DISCONNECTED POSITION",
"VDI_BKR_172_05_MPR_UNHEALTHY","100094",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 MPR UNHEALTHY",
"VDI_BKR_172_05_OVERCURRENT","100098",Boolean,1,RO,1000,,,,,,,,,,"KMA D05 OVERCURRENT TRIP",
"VDI_BKR_172_06_DISC","100103",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 IN DISCONNECTED POSITION",
"VDI_BKR_172_06_MPR_UNHEALTHY","100106",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 MPR UNHEALTHY",
"VDI_BKR_172_06_OVERCURRENT","100110",Boolean,1,RO,1000,,,,,,,,,,"KMA D06 OVERCURRENT TRIP",
"VDI_BKR_172_07_DISC","100115",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 IN DISCONNECTED POSITION",
"VDI_BKR_172_07_MPR_UNHEALTHY","100118",Boolean,1,RO,1000,,,,,,,,,,"KMA D07 MPR UNHEALTHY",
